Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
W,W,WW,WW1,3,NA,0.00728,HB
W,W,WW,WW1,4,NA,0.00762,HB
W,W,WW,WW1,5,NA,0.00817,HB
W,W,WW,WW1,6,NA,0.0068,HB
W,W,WW,WW1,7,NA,0.00786,HB
W,W,WW,WW1,8,NA,0.00777,HB
W,W,WW,WW1,9,NA,0.00583,HB
W,W,WW,WW1,10,NA,0.00732,HB
W,W,WW,WW1,11,NA,0.00788,HB
W,W,WW,WW1,12,NA,0.00818,HB
W,W,WW,WW1,13,NA,0.00642,HB
W,W,WW,WW1,14,NA,0.00728,HB
W,W,WW,WW1,15,NA,0.00698,HB
W,W,WW,WW1,16,NA,0.00692,HB
W,W,WW,WW1,17,NA,0.0072,HB
W,W,WW,WW1,18,NA,0.00786,HB
W,W,WW,WW1,19,NA,0.00683,HB
W,W,WW,WW1,20,NA,0.00719,HB
W,W,WW,WW1,21,NA,0.00802,HB
W,W,WW,WW1,22,NA,0.00673,HB
W,W,WW,WW1,23,NA,0.00775,HB
W,W,WW,WW1,24,NA,0.00655,HB
W,W,WW,WW1,25,NA,0.00765,HB
W,W,WW,WW1,26,NA,0.00686,HB
W,W,WW,WW1,27,NA,0.00725,HB
W,W,WW,WW1,28,NA,0.00712,HB
W,W,WW,WW1,29,NA,0.00768,HB
W,W,WW,WW1,30,NA,0.00761,HB
W,W,WW,WW1,31,NA,0.0069,HB
W,W,WW,WW1,32,NA,0.0067,HB
W,W,WW,WW1,33,NA,0.00686,HB
W,W,WW,WW1,34,NA,0.00718,HB
W,W,WW,WW1,35,NA,0.00722,HB
W,W,WW,WW2,1,NA,0.00829,HB
W,W,WW,WW2,2,NA,0.00745,HB
W,W,WW,WW2,3,NA,0.00773,HB
W,W,WW,WW2,4,NA,0.00694,HB
W,W,WW,WW2,5,NA,0.00836,HB
W,W,WW,WW2,6,NA,0.00827,HB
W,W,WW,WW2,7,NA,0.00696,HB
W,W,WW,WW2,8,NA,0.00736,HB
W,W,WW,WW2,9,NA,0.00712,HB
W,W,WW,WW2,10,NA,0.00749,HB
W,W,WW,WW2,11,NA,0.0078,HB
W,W,WW,WW2,12,NA,0.00734,HB
W,W,WW,WW2,13,NA,0.00718,HB
W,W,WW,WW2,14,NA,0.00719,HB
W,W,WW,WW2,15,NA,0.00754,HB
W,W,WW,WW2,16,NA,0.00787,HB
W,W,WW,WW2,17,NA,0.00737,HB
W,W,WW,WW2,18,NA,0.0071,HB
W,W,WW,WW2,19,NA,0.00727,HB
W,W,WW,WW2,20,NA,0.00675,HB
W,W,WW,WW2,21,NA,0.00741,HB
W,W,WW,WW2,22,NA,0.00708,HB
W,W,WW,WW2,23,NA,0.00699,HB
W,W,WW,WW2,24,NA,0.00732,HB
W,W,WW,WW2,25,NA,0.00718,HB
W,W,WW,WW2,26,NA,0.00791,HB
W,W,WW,WW2,27,NA,0.00717,HB
W,W,WW,WW2,28,NA,0.00711,HB
W,W,WW,WW2,29,NA,0.00772,HB
W,W,WW,WW2,30,NA,0.00744,HB
W,W,WW,WW2,31,NA,0.0073,HB
W,W,WW,WW2,32,NA,0.00692,HB
W,W,WW,WW2,33,NA,0.0071,HB
W,W,WW,WW2,34,NA,0.00726,HB
W,W,WW,WW2,35,NA,0.00706,HB
W,W,WW,WW3,1,NA,0.00735,HB
W,W,WW,WW3,2,NA,0.00721,HB
W,W,WW,WW3,3,NA,0.00791,HB
W,W,WW,WW3,4,NA,0.00745,HB
W,W,WW,WW3,5,NA,0.00788,HB
W,W,WW,WW3,6,NA,0.00806,HB
W,W,WW,WW3,7,NA,0.00751,HB
W,W,WW,WW3,8,NA,0.00811,HB
W,W,WW,WW3,9,NA,0.00787,HB
W,W,WW,WW3,10,NA,0.00725,HB
W,W,WW,WW3,11,NA,0.00778,HB
W,W,WW,WW3,12,NA,0.00732,HB
W,W,WW,WW3,13,NA,0.00789,HB
W,W,WW,WW3,14,NA,0.0071,HB
W,W,WW,WW3,15,NA,0.00817,HB
W,W,WW,WW3,16,NA,0.00805,HB
W,W,WW,WW3,17,NA,0.00864,HB
W,W,WW,WW3,18,NA,0.00858,HB
W,W,WW,WW3,19,NA,0.00809,HB
W,W,WW,WW3,20,NA,0.0079,HB
W,W,WW,WW3,21,NA,0.00792,HB
W,W,WW,WW3,22,NA,0.00834,HB
W,W,WW,WW3,23,NA,0.0072,HB
W,W,WW,WW3,24,NA,0.00771,HB
W,W,WW,WW3,25,NA,0.00793,HB
W,W,WW,WW3,26,NA,0.00807,HB
W,W,WW,WW3,27,NA,0.00849,HB
W,W,WW,WW3,28,NA,0.00694,HB
W,W,WW,WW3,29,NA,0.00791,HB
W,W,WW,WW3,30,NA,0.00691,HB
W,W,WW,WW3,31,NA,0.00839,HB
W,W,WW,WW3,32,NA,0.00786,HB
W,W,WW,WW3,33,NA,0.0074,HB
W,W,WW,WW3,34,NA,0.00731,HB
W,W,WW,WW3,35,NA,0.00817,HB
C,C,CC,CC1,1,NA,0.00811,EG
C,C,CC,CC1,2,NA,0.00772,EG
C,C,CC,CC1,3,NA,0.00875,EG
C,C,CC,CC1,4,NA,0.00939,EG
C,C,CC,CC1,5,NA,0.00866,EG
C,C,CC,CC1,6,NA,0.00874,EG
